Date,Open,High,Low,Close,Adj Close,Volume
2016-08-18,69.400635,69.521782,68.925354,69.018547,54.184841,6202500
2016-08-19,69.018547,69.894554,68.962631,69.754768,54.762817,14458668
2016-08-22,69.754768,70.360519,69.186295,70.006386,54.960354,42898842
2016-08-23,70.006386,70.668053,69.065140,70.295280,55.187164,42275685
2016-08-24,70.295280,70.453712,69.680214,69.782722,54.784767,26359242
2016-08-25,69.782722,69.894554,69.568382,69.717491,54.733555,15726938
2016-08-26,69.717491,69.894554,68.962631,69.568382,54.616493,14770010
2016-08-29,69.568382,69.512466,69.121056,69.475189,54.543324,10207156
2016-08-30,69.475189,69.894554,69.428589,69.782722,54.784767,8686333
2016-08-31,69.782722,70.323242,69.428589,70.230049,55.135956,14721900
2016-09-01,70.230049,70.230049,69.437912,69.829323,54.821358,9947544
2016-09-02,69.829323,70.080940,69.428589,69.894554,54.872562,2683895
2016-09-05,69.894554,70.360519,69.428589,69.764084,54.770134,3890002
2016-09-06,69.764084,70.351196,68.990585,70.295280,55.187164,13866287
2016-09-07,70.295280,70.360519,69.242203,69.792046,54.792095,2617885
2016-09-08,69.792046,70.080940,69.055824,69.931831,54.901833,5408602
2016-09-09,69.931831,69.829323,69.139694,69.232887,54.353107,5494753
2016-09-12,69.232887,69.326080,68.496666,68.906715,54.097038,4523370
2016-09-13,68.906715,69.764084,68.962631,69.437912,54.514065,6453418
2016-09-14,69.437912,70.183456,69.344719,69.698853,54.718929,6622276
2016-09-15,69.698853,70.593498,69.428589,70.556221,55.392017,9616548
2016-09-16,70.556221,70.640099,69.866600,70.108902,55.040848,12867159
2016-09-20,70.108902,70.817162,69.847961,70.360519,55.238388,10261906
2016-09-21,70.360519,70.658737,69.894554,70.183456,55.099380,10877288
2016-09-22,70.183456,70.360519,69.894554,70.034348,54.982307,6624599
2016-09-23,70.034348,70.714653,69.894554,70.285965,55.179852,7644052
2016-09-26,70.733292,70.733292,69.922516,70.220734,55.128639,4073628
2016-09-27,70.220734,70.174133,69.242203,69.885239,54.865257,9169914
2016-09-28,69.885239,69.894554,68.962631,69.260841,54.375057,5345384
2016-09-29,69.260841,69.959793,69.242203,69.540421,54.594547,15026821
2016-09-30,69.540421,69.531105,68.123894,68.478027,53.760483,6227882
2016-10-03,68.478027,69.428589,68.282318,68.934669,54.118980,13218748
2016-10-04,68.934669,69.894554,68.962631,69.773407,54.777451,9846459
2016-10-05,68.962631,69.894554,68.962631,69.568382,54.616493,2660647
2016-10-06,69.419273,69.764084,69.037186,69.232887,54.353107,6673953
2016-10-07,69.335396,69.344719,68.943993,69.074455,54.228722,5868301
2016-10-11,69.074455,69.428589,68.040024,69.223572,54.345787,12596184
2016-10-12,69.223572,69.652252,68.962631,69.335396,54.433586,6179665
2016-10-13,69.335396,69.335396,68.505981,69.214249,54.338470,10881195
2016-10-14,69.214249,69.484505,68.794884,69.046501,54.206776,7918827
2016-10-17,69.046501,69.149017,68.599174,68.636452,53.884857,8700326
2016-10-18,68.636452,70.528267,68.943993,70.369843,55.245705,28536523
2016-10-19,70.369843,71.255173,70.351196,71.003548,55.743217,8516533
2016-10-20,71.003548,71.003548,70.574860,70.761246,55.552986,11752968
2016-10-21,70.761246,71.012871,68.962631,70.276649,55.172539,15383076
2016-10-24,70.276649,72.662376,70.351196,71.171295,55.874908,13552499
2016-10-25,71.171295,72.681023,69.894554,72.634422,57.023571,17893646
2016-10-26,72.634422,72.587830,71.860924,72.336205,56.789455,12098779
2016-10-27,72.336205,72.671700,72.215057,72.429398,56.862617,6794043
2016-10-28,72.429398,72.653061,71.758408,72.457359,56.884567,7898564
2016-11-02,72.653061,72.653061,71.944794,72.364166,56.811405,20919372
2016-11-03,72.364166,73.594307,72.187096,72.653061,57.038204,15057202
2016-11-04,72.653061,72.494637,71.003548,71.189934,55.889542,17071184
2016-11-07,71.189934,72.037987,71.339043,71.665215,56.262669,36079327
2016-11-08,71.693176,72.690338,71.674538,72.653061,57.038204,8635105
2016-11-09,71.758408,72.597145,71.711815,72.252335,56.723598,15813293
2016-11-10,72.410759,72.802170,70.817162,71.180618,55.882221,19625785
2016-11-11,71.180618,71.161980,69.223572,70.099579,55.033527,25964080
